Year;DOY;millisecs;B;Bx;By;Bz;Btheta;Bphi;Vx;Vy;Vz;Np
2005;163;13912278;5.19;2.62;-4.47;-0.35;-3.91;300.38;-309.7;-30.1;-15.3;29.5
2005;163;14011054;5.14;2.44;-4.48;-0.47;-5.25;298.62;-310.2;-32.0;-17.0;29.2
2005;163;14105271;5.35;3.91;-3.51;-0.94;-10.16;318.04;-305.4;-32.2;-16.3;27.7
2005;163;14201008;5.40;3.62;-3.88;-0.99;-10.52;313.03;-305.5;-31.9;-17.2;27.8
2005;163;14296747;5.38;3.36;-4.09;-0.96;-10.29;309.37;-306.2;-31.2;-16.8;27.9
2005;163;14394003;5.31;3.22;-4.09;-1.00;-10.87;308.23;-308.2;-32.7;-16.0;29.2
2005;163;14491260;5.27;3.32;-3.89;-1.23;-13.53;310.43;-308.1;-32.7;-15.7;28.1
2005;163;14590037;5.31;3.39;-3.64;-1.82;-20.15;312.98;-308.3;-30.7;-14.7;28.2
2005;163;14679013;5.43;2.88;-3.90;-1.24;-14.30;306.46;-310.3;-25.5;-11.3;33.3
2005;163;14789110;6.04;0.49;-5.74;1.78;17.20;274.91;-313.2;-27.1;-12.7;24.8
2005;163;14883329;5.84;0.46;-5.52;1.71;17.20;274.78;-315.0;-26.3;-14.8;24.5
2005;163;14980586;5.92;2.15;-5.48;0.29;2.81;291.47;-317.0;-26.4;-13.7;22.3
2005;163;15082437;7.51;6.53;-1.06;-3.51;-27.97;350.77;-324.0;-20.7;-8.6;18.5
2005;163;15170576;8.01;6.83;-1.28;-3.99;-29.85;349.41;-321.2;-19.5;-11.6;17.2
2005;163;15273912;7.98;6.58;-1.86;-4.11;-30.98;344.25;-321.2;-20.4;-11.1;16.9
2005;163;15371168;8.19;6.79;-1.56;-4.29;-31.65;347.03;-322.0;-20.5;-10.6;16.3
2005;163;15468426;8.32;6.91;-0.99;-4.51;-32.87;351.83;-322.8;-17.9;-11.0;16.8
2005;163;15568005;8.42;6.90;-1.06;-4.69;-33.93;351.30;-321.2;-22.0;-14.8;17.5
2005;163;15656862;8.38;6.68;-1.87;-4.69;-34.08;344.35;-319.5;-21.5;-13.5;16.0
2005;163;15758677;8.70;6.98;-1.91;-4.83;-33.74;344.70;-320.1;-22.5;-12.5;15.4
2005;163;15863498;8.17;6.42;-2.49;-4.39;-32.49;338.81;-323.3;-23.7;-11.4;18.1
2005;163;15951636;8.74;6.84;-2.58;-4.80;-33.31;339.34;-322.0;-24.1;-12.3;16.7
2005;163;16055007;8.78;6.76;-2.37;-5.07;-35.29;340.65;-324.9;-24.4;-6.6;15.9
2005;163;16146151;8.83;6.41;-1.83;-5.77;-40.86;344.11;-323.8;-24.4;-14.5;16.0
2005;163;16243408;8.92;6.56;-1.98;-5.71;-39.80;343.21;-323.1;-25.6;-12.6;16.6
2005;163;16340666;8.85;6.50;-2.38;-5.50;-38.49;339.90;-323.0;-24.9;-13.2;17.6
2005;163;16443320;8.90;6.59;-2.21;-5.55;-38.61;341.46;-322.7;-26.7;-14.0;17.8
2005;163;16538218;9.08;6.89;-2.58;-5.29;-35.72;339.47;-325.7;-24.9;-10.8;17.2
2005;163;16630917;9.04;6.86;-2.63;-5.28;-35.71;339.03;-323.7;-24.3;-14.4;18.4
2005;163;16732732;9.04;6.70;-2.49;-5.52;-37.69;339.59;-324.0;-24.2;-12.5;18.2
2005;163;16829990;9.39;6.96;-1.86;-6.02;-39.87;345.00;-325.6;-24.4;-11.0;17.0
2005;163;16924208;9.57;7.20;-1.79;-6.05;-39.19;346.05;-323.8;-23.3;-14.7;16.6
2005;163;17021464;9.60;7.19;-1.97;-6.05;-39.08;344.68;-324.0;-24.1;-14.9;16.5
2005;163;17118722;9.68;7.19;-1.85;-6.21;-39.88;345.55;-323.9;-23.8;-15.6;16.5
2005;163;17215980;9.80;7.30;-2.26;-6.14;-38.80;342.78;-322.6;-24.4;-16.3;16.2
2005;163;17313236;9.78;7.26;-2.39;-6.10;-38.57;341.81;-322.8;-24.5;-16.5;16.4
2005;163;17412013;9.77;7.22;-2.22;-6.18;-39.26;342.94;-322.8;-23.6;-16.9;16.1
2005;163;17509271;9.71;7.07;-2.57;-6.13;-39.13;340.02;-323.4;-24.8;-15.1;17.1
2005;163;17603523;9.05;6.62;-0.90;-6.08;-42.32;352.23;-328.0;-17.8;-13.1;18.2
2005;163;17705339;8.82;6.48;-1.12;-5.87;-41.75;350.19;-328.7;-15.9;-16.7;20.3
2005;163;17799556;8.78;6.51;-1.12;-5.79;-41.22;350.22;-328.0;-15.0;-17.2;20.5
2005;163;17893775;9.46;7.21;-1.61;-5.89;-38.55;347.39;-324.0;-20.9;-8.8;17.4
2005;163;17989689;9.70;7.64;-1.87;-5.67;-35.75;346.22;-321.5;-22.1;-13.2;15.6
2005;163;18094332;9.92;7.83;-2.03;-5.75;-35.39;345.46;-319.9;-24.5;-14.5;15.2
2005;163;18191589;9.89;7.70;-2.47;-5.69;-35.16;342.23;-320.7;-25.6;-13.3;16.0
2005;163;18288847;9.71;7.64;-2.78;-5.29;-33.06;340.04;-319.7;-24.4;-14.0;15.3
2005;163;18383240;9.58;7.53;-2.92;-5.15;-32.51;338.79;-321.1;-24.3;-12.8;16.9
2005;163;18483361;9.55;7.62;-3.03;-4.88;-30.74;338.33;-320.8;-25.1;-13.2;16.5
2005;163;18571501;9.36;7.18;-2.78;-5.24;-34.27;338.81;-322.1;-23.0;-15.7;17.5
2005;163;18674835;9.37;7.15;-2.73;-5.38;-35.10;339.09;-321.0;-26.9;-14.5;16.5
2005;163;18769054;9.45;7.28;-2.65;-5.39;-34.81;340.00;-321.2;-28.7;-13.5;17.0
2005;163;18872388;9.22;6.86;-2.57;-5.57;-37.26;339.44;-324.6;-24.2;-12.5;18.7
2005;163;18966607;8.98;6.97;-2.74;-4.95;-33.47;338.56;-320.6;-26.9;-16.8;17.5
2005;163;19161158;8.22;3.88;-7.22;-0.43;-2.97;298.27;-321.2;-23.1;-19.3;19.9
2005;163;19258378;7.84;4.14;-6.37;-1.50;-11.14;303.04;-320.5;-26.2;-19.1;20.3
2005;163;19355636;7.64;4.34;-5.91;-2.07;-15.77;306.32;-318.7;-29.3;-15.6;20.1
2005;163;19458972;8.24;5.56;-5.28;-3.00;-21.38;316.50;-320.2;-24.2;-17.8;19.1
2005;163;19547146;8.60;5.69;-5.78;-2.80;-19.01;314.53;-321.9;-23.4;-18.0;18.9
2005;163;19650447;8.42;5.05;-5.94;-3.02;-21.17;310.40;-319.0;-26.0;-17.4;19.3
2005;163;19744666;7.95;4.76;-3.64;-5.21;-41.01;322.58;-312.6;-30.7;-26.4;21.1
2005;163;19846656;8.61;5.68;-4.44;-4.40;-31.37;322.02;-316.9;-28.6;-24.5;19.2
2005;163;19945257;8.96;5.97;-6.49;0.09;0.59;312.63;-320.1;-26.0;-14.6;18.4
2005;163;20039474;8.15;5.48;-5.83;-1.18;-8.36;313.24;-325.1;-23.3;-11.4;21.3
2005;163;20136767;7.80;5.68;-5.18;-1.15;-8.53;317.65;-326.9;-20.8;-7.4;23.0
2005;163;20233988;7.76;6.02;-4.67;-1.34;-9.97;322.18;-330.4;-25.9;-4.2;22.0
2005;163;20331248;7.52;5.66;-4.74;-1.24;-9.54;320.05;-329.6;-26.1;-4.5;23.2
2005;163;20428539;7.66;5.84;-4.62;-1.78;-13.48;321.65;-330.9;-32.1;-2.8;21.4
2005;163;20521203;7.56;5.54;-4.85;-1.64;-12.53;318.80;-331.8;-32.6;-3.9;22.9
2005;163;20627576;7.30;5.28;-4.81;-1.43;-11.33;317.66;-335.0;-30.8;-3.7;23.7
2005;163;20720275;7.42;5.20;-5.04;-1.56;-12.17;315.89;-335.2;-32.6;-6.5;22.0
2005;163;20820570;7.29;5.08;-4.94;-1.63;-12.95;315.79;-336.8;-31.4;-8.1;22.8
2005;163;20917968;7.48;4.63;-5.50;-2.02;-15.70;310.10;-336.5;-32.4;-10.3;20.7
2005;163;21012082;7.51;4.64;-5.43;-2.26;-17.56;310.53;-333.3;-34.6;-2.1;21.7
2005;163;21106263;7.24;3.61;-5.67;-2.63;-21.34;302.44;-332.8;-30.5;-2.1;23.0
2005;163;21203521;7.46;3.30;-6.30;-2.23;-17.37;297.61;-330.2;-27.4;-3.3;22.4
2005;163;21300779;7.27;3.29;-6.10;-2.13;-17.09;298.35;-330.5;-36.9;-6.1;22.8
2005;163;21398037;6.51;2.06;-5.91;-1.77;-15.80;289.24;-333.4;-34.0;-1.6;21.9
2005;163;21492253;5.51;2.05;-4.86;-1.46;-15.42;292.88;-333.3;-24.5;-2.1;25.3
2005;163;21598839;3.51;-0.12;-3.24;0.39;6.83;267.93;-337.1;-11.0;2.1;30.7
2005;163;21690017;2.35;0.16;-1.82;0.60;18.05;275.10;-339.7;-11.7;1.2;32.6
2005;163;21790314;2.28;0.72;-1.67;-0.27;-8.43;293.39;-339.0;-9.7;6.3;31.7
2005;163;21887572;2.57;2.04;-0.95;0.18;4.47;335.13;-340.7;-6.5;5.7;33.8
2005;163;21984830;2.20;1.92;0.14;-0.04;-1.32;4.22;-344.7;-23.1;13.4;34.7
2005;163;22082085;2.38;2.29;0.07;-0.03;-0.68;1.72;-342.6;-9.1;3.4;32.8
2005;163;22179343;2.22;2.21;0.17;0.00;0.07;4.42;-342.9;-9.7;4.5;32.6
2005;163;22276599;1.77;1.64;0.38;-0.17;-5.82;13.07;-341.3;-10.2;4.3;33.0
2005;163;22376861;2.41;2.15;1.00;-0.27;-6.55;24.87;-341.3;-13.4;4.1;31.3
2005;163;22468076;2.29;1.95;1.06;-0.48;-12.21;28.41;-340.0;-33.4;-9.3;32.2
2005;163;22574451;2.88;2.10;1.82;-0.37;-7.59;40.87;-340.6;-12.7;3.9;31.3
2005;163;22668632;2.57;1.94;1.62;-0.08;-1.85;39.77;-344.2;-25.9;14.0;34.1
2005;163;22765890;2.52;1.96;1.53;-0.24;-5.54;38.08;-342.5;-13.3;5.9;32.3
2005;163;22863146;2.52;1.90;1.60;-0.13;-3.05;40.13;-339.2;-12.4;-5.0;32.8
2005;163;22960404;2.47;2.04;1.31;-0.09;-2.11;32.74;-345.4;-11.5;7.2;32.5
2005;163;23057660;3.17;2.61;1.71;-0.53;-9.63;33.20;-345.6;-11.7;8.3;33.5
2005;163;23155636;3.08;2.50;1.67;-0.60;-11.31;33.77;-344.9;-11.8;9.2;32.9
2005;163;23252175;2.96;2.57;0.94;-1.06;-21.15;20.19;-344.7;-15.0;9.7;32.7
2005;163;23349433;3.49;2.92;-0.05;-1.82;-31.96;358.97;-341.3;-14.0;8.2;32.0
2005;163;23440646;4.03;3.01;-1.18;-2.40;-36.63;338.65;-338.9;-8.7;8.6;30.9
2005;163;23547021;2.88;2.34;1.56;-0.60;-11.98;33.65;-340.1;-11.4;8.9;35.4
2005;163;23641238;2.77;2.37;1.24;-0.69;-14.48;27.65;-337.3;-12.1;-1.7;35.4
2005;163;23738496;3.06;2.56;1.51;-0.71;-13.44;30.55;-339.6;-12.7;8.3;35.2
2005;163;23835753;3.12;2.64;1.49;-0.73;-13.52;29.55;-340.5;-11.1;8.3;36.0
2005;163;23933011;3.10;2.33;1.77;-1.02;-19.17;37.15;-340.4;-10.7;7.6;36.0
2005;163;24030232;2.62;1.93;1.39;-1.07;-24.31;35.65;-339.6;-11.9;7.0;37.6
2005;163;24127490;1.89;1.44;1.03;-0.58;-18.24;35.49;-341.8;-12.5;5.9;38.0
2005;163;24224746;2.69;1.96;1.55;-0.98;-21.35;38.24;-341.6;-11.6;5.2;38.0
2005;163;24322003;3.05;2.31;1.64;-1.10;-21.17;35.43;-342.0;-12.2;4.8;37.6
2005;163;24413183;3.18;2.35;1.96;-0.82;-15.02;39.79;-340.9;-13.2;3.7;39.7
2005;163;24526298;4.20;2.35;3.30;-0.78;-10.93;54.54;-370.5;-22.5;-17.7;90.6
2005;163;24610595;6.35;-1.21;6.01;0.59;5.49;101.37;-376.0;-11.9;-33.8;93.7
2005;163;24704814;8.80;0.31;8.69;-0.22;-1.44;87.96;-374.9;-10.3;-31.4;96.9
2005;163;24805111;12.56;-1.69;12.41;0.29;1.32;97.77;-377.5;-14.5;-31.4;90.2
2005;163;24899328;13.22;-2.73;12.87;0.66;2.89;102.00;-381.2;-16.5;-32.0;84.7
2005;163;24993546;12.77;-3.04;12.33;1.24;5.58;103.85;-376.6;-15.7;-29.8;86.6
2005;163;25096880;13.80;-2.61;13.49;0.88;3.68;100.95;-380.2;-20.2;-31.7;88.0
2005;163;25191099;14.00;-3.17;13.52;1.59;6.53;103.19;-373.4;-18.5;-36.9;87.6
2005;163;25284601;20.11;-3.23;19.81;0.44;1.26;99.26;-367.7;-25.8;-35.9;59.9
2005;163;25378820;24.18;-13.75;18.31;6.83;16.61;126.90;-351.0;-18.5;-36.4;42.2
2005;163;25485875;24.56;-14.14;18.72;7.18;17.01;127.06;-359.3;-23.9;-37.8;44.8
2005;163;25580093;24.80;-13.57;19.77;6.29;14.69;124.47;-359.5;-32.2;-33.9;43.6
2005;163;25674416;25.52;-14.63;20.11;5.70;12.91;126.04;-358.7;-35.8;-35.5;41.4
2005;163;25780685;25.20;-11.23;21.66;4.73;10.96;117.40;-365.9;-36.1;-30.4;51.1
2005;163;25873384;24.36;-6.91;23.17;2.81;6.63;106.62;-368.5;-30.5;-29.1;45.3
